"Rank","RatingTomatometer","Title","No. of Reviews"
1,"99%","The Wizard of Oz (1939)",107
2,"99%","Metropolis (1927)",114
3,"97%","Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",62
4,"97%","Gravity (2013)",305
5,"98%","E.T. The Extra-Terrestrial (1982)",98
6,"100%","Toy Story 2 (1999)",163
7,"98%","Snow White and the Seven Dwarfs (1937)",43
8,"100%","The Bride of Frankenstein (1935)",41
9,"99%","Toy Story 3 (2010)",280
10,"99%","Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964)",68
11,"97%","Alien (1979)",92
12,"100%","Frankenstein (1931)",44
13,"94%","The Dark Knight (2008)",315
14,"100%","Pinocchio (1940)",41
15,"95%","Star Trek (2009)",328
16,"100%","Toy Story (1995)",78
17,"96%","Harry Potter and the Deathly Hallows - Part 2 (2011)",306
18,"96%","WALL-E (2008)",243
19,"94%","It's a Wonderful Life (1946)",68
20,"100%","Mary Poppins (1964)",44
21,"96%","Miracle on 34th Street (1947)",46
22,"100%","The Terminator (1984)",51
23,"98%","Invasion of the Body Snatchers (1956)",48
24,"96%","Star Wars: Episode V - The Empire Strikes Back (1980)",75
25,"95%","Beauty and The Beast (La Belle et la bÃªte) (1946)",56
26,"98%","Aliens (1986)",61
27,"98%","The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972)",46
28,"98%","How to Train Your Dragon (2010)",200
29,"92%","Marvel's The Avengers (2012)",311
30,"96%","2001: A Space Odyssey (1968)",70
31,"98%","Forbidden Planet (1956)",42
32,"96%","Fantasia (1940)",50
33,"96%","The Lord of the Rings: The Two Towers (2002)",247
34,"97%","The Iron Giant (1999)",130
35,"97%","Big (1988)",70
36,"98%","8 1/2 (1963)",41
37,"97%","Spirited Away (2001)",177
38,"94%","Her (2013)",229
39,"95%","The Lord of the Rings: The Return of the King (2003)",261
40,"95%","Pan's Labyrinth (2006)",224
41,"97%","Ghostbusters (1984)",64
42,"97%","The Princess Bride (1987)",63
43,"94%","The Day the Earth Stood Still (1951)",53
44,"96%","Monsters, Inc. (2001)",192
45,"93%","Iron Man (2008)",243
46,"93%","Gojira (1956)",69
47,"93%","Looper (2012)",246
48,"95%","Snowpiercer (2014)",185
49,"98%","Wings of Desire (1987)",46
50,"96%","Back to the Future (1985)",68
51,"98%","Jodorowsky's Dune (2014)",109
52,"97%","Babe (1995)",68
53,"98%","Brazil (1985)",46
54,"98%","Repo Man (1984)",45
55,"93%","Jurassic Park (1993)",112
56,"94%","Spider-Man 2 (2004)",253
57,"96%","Invasion of the Body Snatchers (1978)",46
58,"93%","Star Wars: Episode IV - A New Hope (1977)",71
59,"96%","Solaris (1976)",47
60,"91%","Blade Runner (1982)",96
61,"96%","Close Encounters of the Third Kind (1977)",46
62,"96%","Groundhog Day (1993)",70
63,"91%","Guardians of the Galaxy (2014)",259
64,"91%","X-Men: Days of Future Past (2014)",255
65,"98%","The Secret of Roan Inish (1995)",43
66,"96%","The Evil Dead (1981)",53
67,"96%","Yellow Submarine (1968)",47
68,"94%","The Nightmare Before Christmas (1993)",88
69,"90%","Live Die Repeat: Edge of Tomorrow (2014)",267
70,"94%","Young Frankenstein (1974)",51
71,"93%","Superman (1978)",60
72,"92%","Children of Men (2006)",237
73,"95%","Antz (1998)",88
74,"90%","Dawn Of The Planet Of The Apes (2014)",257
75,"95%","L'annÃ©e derniÃ¨re Ã  Marienbad (Last Year at Marienbad) (1961)",42
76,"95%","The Secret World of Arrietty (2012)",139
77,"98%","Song Of The Sea (2014)",57
78,"93%","Eternal Sunshine Of The Spotless Mind (2004)",232
79,"92%","The Seventh Seal (Det Sjunde inseglet) (1957)",52
80,"97%","Ernest & CÃ©lestine (2014)",75
81,"92%","Source Code (2011)",243
82,"98%","Marwencol (2010)",58
83,"95%","Mad Max (1979)",43
84,"90%","District 9 (2009)",275
85,"89%","Captain America: The Winter Soldier (2014)",254
86,"93%","Being John Malkovich (1999)",123
87,"91%","Bambi (1942)",46
88,"91%","The Lord of the Rings: The Fellowship of the Ring (2001)",225
89,"89%","The Hunger Games: Catching Fire (2013)",247
90,"91%","Harry Potter and the Prisoner of Azkaban (2004)",249
91,"90%","Coraline (2009)",256
92,"92%","How to Train Your Dragon 2 (2014)",159
93,"94%","Re-Animator (1985)",47
94,"93%","Jason and the Argonauts (1963)",40
95,"92%","Shaun of the Dead (2004)",200
96,"92%","Men in Black (1997)",84
97,"92%","The Little Mermaid (1989)",65
98,"94%","Heavenly Creatures (1994)",48
99,"92%","Terminator 2: Judgment Day (1991)",62
100,"90%","Minority Report (2002)",239
